"word","in documents","total"
"bilanovic_goli",1.0,1.0
"bilanovic_intervju",1.0,1.0
"bilanovic_juzna",1.0,1.0
"bilanovic_najnovije",1.0,1.0
"bilanovi?",1.0,2.0
"bilanovi?_južna",1.0,2.0
"bili",1.0,8.0
"bili_me?u",1.0,1.0
"bili_moji",1.0,1.0
"bili_mo?niji",1.0,1.0
"bili_na",1.0,1.0
"bili_najgori",1.0,1.0
"bili_najve?i",1.0,1.0
"bili_prava",1.0,1.0
"bili_veliki",1.0,1.0
"biljana",1.0,9.0
"biljana_djorovic",1.0,7.0
"biljana_?orovi?",1.0,2.0
"biljkama",1.0,1.0
"biljkama_iz",1.0,1.0
"biljke",1.0,3.0
"biljke_amazona",1.0,1.0
"biljke_i",1.0,1.0
"biljke_lekovite",1.0,1.0
"bilo",1.0,13.0
"bilo_balkan",1.0,1.0
"bilo_druga?ije",1.0,1.0
"bilo_intervju",1.0,1.0
"bilo_marko",1.0,1.0
"bilo_sasa",1.0,4.0
"bilo_saša",1.0,1.0
"bilo_strah",1.0,1.0
"bilo_?????",1.0,3.0
"bio_buntovnik",1.0,1.0
"bio_izdajnik",1.0,4.0
"bio_izvor",1.0,1.0
"bio_mala",1.0,1.0
"bio_problemati?an",1.0,1.0
"bio_put",1.0,1.0
"bio_sam",1.0,1.0
"bio_srbin",1.0,4.0
"bio_tito",1.0,3.0
"biraju",1.0,1.0
"biraju_politi?are",1.0,1.0
"biseri",1.0,8.0
"biseri_legionar",1.0,2.0
"biseri_marko",1.0,2.0
"biseri_su",1.0,1.0
"biseri_vanja",1.0,1.0
"biseri_????",1.0,2.0
"biserko",1.0,1.0
"biserko_vucic",1.0,1.0
"bitange",1.0,2.0
"bitange_i",1.0,2.0
"bitcoin",1.0,2.0
"bitcoin_istok",1.0,1.0
"bitcoin_preti",1.0,1.0
"biti",1.0,6.0
"biti_deo",1.0,2.0
"biti_poltron",1.0,1.0
"biti_priznanje",1.0,1.0
"biti_robovi",1.0,2.0
"bitku",1.0,1.0
"bitku_sa",1.0,1.0
"biznismeni",1.0,1.0
"biznismeni_balkan",1.0,1.0
"bi?e",1.0,1.0
"bi?e_novih",1.0,1.0
"bjelica",1.0,4.0
"bjelica_intervju",1.0,1.0
"bjelica_isidora",1.0,1.0
"bjelica_najnovije",1.0,1.0
"bjelica_nebojsa",1.0,1.0
"blago",1.0,1.0
"blago_se",1.0,1.0
"blagoje",1.0,6.0
"blagoje_grahovac",1.0,6.0
"bler",1.0,9.0
"bler_kao",1.0,9.0
"blizu",1.0,1.0
"blizu_balkan",1.0,1.0
"bliži",1.0,2.0
"bliži_svom",1.0,1.0
"bliži_velikom",1.0,1.0
"blok",1.0,1.0
"blok_dss",1.0,1.0
"blokira",1.0,1.0
"blokira_medije",1.0,1.0
"bodibilding",1.0,4.0
"bodibilding_je",1.0,1.0
"bodibilding_lepomir",1.0,1.0
"bodibilding_teretana",1.0,2.0
"bog_je",1.0,1.0
"bog_monah",1.0,1.0
"bog_poslao",1.0,1.0
"bog_svih",1.0,1.0
"bog_te",1.0,1.0
"bog_?e",1.0,1.0
"boga",1.0,2.0
"boga_ni",1.0,1.0
"boga_uspešno",1.0,1.0
"bogate",1.0,1.0
"bogate_na",1.0,1.0
"bogic",1.0,2.0
"bogic_politicari",1.0,1.0
"bogic_?????",1.0,1.0
"bogicevic",1.0,1.0
"bogicevic_intervju",1.0,1.0
"bogi?",1.0,2.0
"bogi?_josip",1.0,1.0
"bogi?_politi?ari",1.0,1.0
"bogi?evi?",1.0,2.0
"bogi?evi?_batan",1.0,1.0
"bogi?evi?_nikad",1.0,1.0
"bogom",1.0,1.0
"bogom_i",1.0,1.0
"bogu",1.0,1.0
"bogu_ako",1.0,1.0
"bojan",1.0,12.0
"bojan_dimitrijevic",1.0,10.0
"bojan_dimitrijevi?",1.0,2.0
"bojkotuje",1.0,1.0
"bojkotuje_izbore",1.0,1.0
"bojovic",1.0,1.0
"bojovic_intervju",1.0,1.0
"bokan",1.0,18.0
"bokan_ako",1.0,1.0
"bokan_balkan",1.0,2.0
"bokan_beli",1.0,2.0
"bokan_dragoslav",1.0,2.0
"bokan_intervju",1.0,4.0
"bokan_marko",1.0,2.0
"bokan_moramo",1.0,1.0
"bokan_najnovije",1.0,2.0
"bokan_?????????",1.0,2.0
"boks",1.0,1.0
"boks_je",1.0,1.0
"bokser",1.0,1.0
"bokser_intervju",1.0,1.0
"boksu",1.0,1.0
"boksu_nema",1.0,1.0
"bolan",1.0,1.0
"bolan_umij",1.0,1.0
"bolesnik",1.0,7.0
"bolesnik_branko",1.0,3.0
"bolesnik_vucic",1.0,4.0
"bolest",1.0,1.0
"bolest_balkan",1.0,1.0
"bolestan",1.0,3.0
"bolestan_marko",1.0,3.0
"bolesti",1.0,7.0
"bolesti_ali",1.0,1.0
"bolesti_balkan",1.0,4.0
"bolesti_je",1.0,1.0
"bolesti_u",1.0,1.0
"bolja",1.0,2.0
"bolja_vremena",1.0,2.0
"bolju",1.0,1.0
"bolju_vlast",1.0,1.0
"bombardovanja",1.0,1.0
"bombardovanja_balkan",1.0,1.0
"bombardovanje",1.0,1.0
"bombardovanje_intervju",1.0,1.0
"bond",1.0,3.0
"bond_bozidar",1.0,3.0
"bora",1.0,5.0
"bora_corba",1.0,1.0
"bora_djordjevic",1.0,1.0
"bora_?orba",1.0,1.0
"bora_?or?evi?",1.0,2.0
"borac",1.0,1.0
"borac_intervju",1.0,1.0
"borba",1.0,1.0
"borba_intervju",1.0,1.0
"borbe",1.0,1.0
"borbe_balkan",1.0,1.0
"borbena",1.0,1.0
"borbena_jedinica",1.0,1.0
"borbu",1.0,3.0
"borbu_i",1.0,1.0
"borbu_na",1.0,1.0
"borbu_protiv",1.0,1.0
"borci",1.0,1.0
"borci_dusan",1.0,1.0
"bore",1.0,2.0
"bore_borko",1.0,1.0
"bore_dokumentarne",1.0,1.0
"borili",1.0,1.0
"borili_da",1.0,1.0
"borimo",1.0,1.0
"borimo_se",1.0,1.0
"borio",1.0,1.0
"borio_za",1.0,1.0
"boris",1.0,12.0
"boris_malagurski",1.0,9.0
"boris_tadic",1.0,2.0
"boris_tadi?",1.0,1.0
"borislav",1.0,3.0
"borislav_pelevic",1.0,1.0
"borislav_pelevi?",1.0,2.0
"boriti",1.0,2.0
"boriti_da",1.0,1.0
"boriti_se",1.0,1.0
"borko",1.0,27.0
"borko_b",1.0,3.0
"borko_djordjevic",1.0,6.0
"borko_stefanovic",1.0,9.0
"borko_stefanovi?",1.0,4.0
"borko_vujicic",1.0,1.0
"borko_vuji?i?",1.0,3.0
"borko_?or?evi?",1.0,1.0
"borovcanin",1.0,1.0
"borovcanin_intervju",1.0,1.0
"borov?anin",1.0,2.0
"borov?anin_nenad",1.0,1.0
"borov?anin_u",1.0,1.0
"bosko",1.0,56.0
"bosko_dveri",1.0,5.0
"bosko_jaksic",1.0,8.0
"bosko_nemanja",1.0,1.0
"bosko_obradovic",1.0,42.0
"bosni",1.0,1.0
"bosni_naser",1.0,1.0
"bosnic",1.0,3.0
"bosnic_evropska",1.0,2.0
"bosnic_???",1.0,1.0
"bosnich",1.0,3.0
"bosnich_dzon",1.0,3.0
"bosni?",1.0,6.0
"bosni?_donald",1.0,1.0
"bosni?_globalisti?ko",1.0,1.0
"bosni?_john",1.0,1.0
"bosni?_nato",1.0,1.0
"bosni?_???",1.0,2.0
"bosnjaci",1.0,2.0
"bosnjaci_muamer",1.0,2.0
"boza",1.0,3.0
"boza_spasic",1.0,3.0
"bozidar",1.0,36.0
"bozidar_boza",1.0,3.0
"bozidar_delic",1.0,4.0
"bozidar_popovic",1.0,1.0
"bozidar_spasic",1.0,28.0
"bozovic",1.0,4.0
"bozovic_giska",1.0,4.0
"boško",1.0,17.0
"boško_jakši?",1.0,2.0
"boško_obradovi?",1.0,13.0
"boško_?irkovi?",1.0,2.0
"božidar",1.0,13.0
"božidar_deli?",1.0,5.0
"božidar_popovi?",1.0,2.0
"božidar_spasi?",1.0,6.0
"božija",1.0,1.0
"božija_ljubav",1.0,1.0
"božovi?",1.0,1.0
"božovi?_giška",1.0,1.0
"brak",1.0,1.0
"brak_balkan",1.0,1.0
"branimo",1.0,1.0
"branimo_kosovo",1.0,1.0
"branislav",1.0,16.0
"branislav_lecic",1.0,10.0
"branislav_le?i?",1.0,2.0
"branislav_ristivojevic",1.0,1.0
"branislav_ristivojevi?",1.0,2.0
"branislav_trifunovi?",1.0,1.0
"branko",1.0,75.0
"branko_dragas",1.0,46.0
"branko_dragaš",1.0,15.0
"branko_radun",1.0,7.0
"branko_ruzic",1.0,5.0
"branko_ruži?",1.0,2.0
"brano",1.0,1.0
"brano_micunovic",1.0,1.0
"bratislav",1.0,4.0
"bratislav_zivkovic",1.0,2.0
"bratislav_živkovi?",1.0,2.0
"bratska",1.0,1.0
"bratska_ruka",1.0,1.0
"braun",1.0,1.0
